,gender,Status,First_Reviewer,Second_Reviewer,First_Grade,Second_Grade,Target
90,0.0,10 класс,reviewer_7,reviewer_6,4.0,4,4.0
91,1.0,10 класс,reviewer_9,reviewer_7,16.0,14,15.0
92,0.0,11 класс,reviewer_7,reviewer_6,24.0,25,24.5
93,0.0,11 класс,reviewer_8,reviewer_2,21.0,21,21.0
94,1.0,10 класс,reviewer_5,reviewer_7,26.0,25,25.5
95,0.0,11 класс,reviewer_8,reviewer_9,27.0,27,27.0
96,1.0,Иное,reviewer_4,reviewer_9,28.0,25,26.5
97,1.0,9 класс,reviewer_7,reviewer_3,23.0,22,22.5
98,1.0,11 класс,reviewer_2,reviewer_6,26.0,26,26.0
99,1.0,11 класс,reviewer_8,reviewer_5,13.0,16,14.5
100,1.0,10 класс,reviewer_3,reviewer_4,22.0,21,21.5
101,0.0,11 класс,reviewer_8,reviewer_5,25.0,27,26.0
102,1.0,10 класс,reviewer_6,reviewer_8,26.0,24,25.0
103,1.0,11 класс,reviewer_6,reviewer_8,25.0,28,26.5
104,0.0,11 класс,reviewer_9,reviewer_5,26.0,26,26.0
105,1.0,11 класс,reviewer_4,reviewer_9,28.0,28,28.0
106,1.0,10 класс,reviewer_7,reviewer_6,29.0,27,28.0
107,1.0,11 класс,reviewer_5,reviewer_9,27.0,26,26.5
108,0.0,10 класс,reviewer_6,reviewer_7,21.0,24,22.5
109,1.0,10 класс,reviewer_4,reviewer_5,22.0,20,21.0
110,1.0,11 класс,reviewer_9,reviewer_6,28.0,28,28.0
111,1.0,10 класс,reviewer_3,reviewer_6,15.0,16,15.5
112,1.0,10 класс,reviewer_7,reviewer_9,24.0,25,24.5
113,0.0,10 класс,reviewer_3,reviewer_7,28.0,24,26.0
114,1.0,11 класс,reviewer_5,reviewer_4,15.0,20,17.5
115,1.0,10 класс,reviewer_8,reviewer_3,28.0,29,28.5
116,1.0,11 класс,reviewer_6,reviewer_5,22.0,22,22.0
117,0.0,11 класс,reviewer_5,reviewer_3,16.0,17,16.5
118,1.0,11 класс,reviewer_6,reviewer_7,28.0,22,25.0
119,0.0,11 класс,reviewer_8,reviewer_5,25.0,25,25.0
120,1.0,Иное,reviewer_8,reviewer_7,24.0,17,20.5
121,0.0,10 класс,reviewer_5,reviewer_9,20.0,21,20.5
122,1.0,11 класс,reviewer_2,reviewer_8,25.0,27,26.0
123,1.0,11 класс,reviewer_5,reviewer_9,26.0,28,27.0
124,0.0,10 класс,reviewer_5,reviewer_6,23.0,30,26.5
125,1.0,11 класс,reviewer_6,reviewer_7,29.0,29,29.0
126,1.0,10 класс,reviewer_6,reviewer_4,25.0,25,25.0
127,1.0,11 класс,reviewer_3,reviewer_6,27.0,28,27.5
128,1.0,10 класс,reviewer_7,reviewer_9,18.0,23,20.5
129,1.0,10 класс,reviewer_3,reviewer_7,24.0,22,23.0
130,0.0,11 класс,reviewer_6,reviewer_7,17.0,15,16.0
131,1.0,11 класс,reviewer_6,reviewer_9,28.0,25,26.5
132,1.0,11 класс,reviewer_7,reviewer_8,20.0,25,22.5
133,0.0,10 класс,reviewer_7,reviewer_6,21.0,22,21.5
134,0.0,11 класс,reviewer_7,reviewer_6,26.0,27,26.5
135,1.0,Иное,reviewer_7,reviewer_9,25.0,27,26.0
136,1.0,Иное,reviewer_7,reviewer_5,29.0,26,27.5
137,1.0,Иное,reviewer_3,reviewer_6,20.0,22,21.0
138,1.0,Иное,reviewer_5,reviewer_6,23.0,23,23.0
139,0.0,11 класс,reviewer_8,reviewer_5,21.0,24,22.5
140,1.0,10 класс,reviewer_8,reviewer_7,20.0,22,21.0
141,0.0,10 класс,reviewer_3,reviewer_6,22.0,23,22.5
142,1.0,9 класс,reviewer_6,reviewer_7,23.0,22,22.5
143,1.0,11 класс,reviewer_7,reviewer_6,22.0,22,22.0
144,0.0,11 класс,reviewer_7,reviewer_6,17.0,22,19.5
